,GSM4731601,GSM4731602,GSM4731603,GSM4731604,GSM4731605,GSM4731606,GSM4731607,GSM4731608,GSM4731609,GSM4731610,GSM4731611,GSM4731612,GSM4731613,GSM4731614,GSM4731615,GSM4731616,GSM4731617,GSM4731618
LY6K,4.42860331,4.489118767,4.364048283,4.41041414,4.482444386,4.36134291,4.577689672,4.420719796,4.290751651,4.41624833,4.4066443,4.434924184,4.568855164,4.545145867,4.56664175,4.310290131,4.312630423,4.364847409
LYNX1-SLURP2,7.184266104,7.215935041,6.842103381,7.208984005,7.174535947,7.361096105,7.149696714,7.065254327,6.819900691,6.853927858,6.7303697,6.989560627,6.40237133,6.522754582,6.389366494,6.023941434,6.350904392,6.779766069
LYNX1,7.184266104,7.215935041,6.842103381,7.208984005,7.174535947,7.361096105,7.149696714,7.065254327,6.819900691,6.853927858,6.7303697,6.989560627,6.40237133,6.522754582,6.389366494,6.023941434,6.350904392,6.779766069
MINCR,7.194826381,7.2857019,7.072918206,7.167647544,7.231948266,7.169757011,7.130765855,7.160489826,7.129849231,7.33942518,7.00578892,7.029556317,6.990965646,7.093468333,7.122295639,6.546528919,6.581093225,6.910309388
RHPN1-AS1,7.187474427,7.39222269,7.069275146,7.358037143,7.535175839,7.598466895,7.214696257,7.401900445,7.389477099,7.229212708,7.079342616,6.893925816,6.251334451,6.332494146,6.45615925,5.743483993,6.470371934,6.534401141
PON2,9.339766949,9.330124419,9.474775453,9.494167027,9.729184747,9.249416156,9.441440767,9.582801605,10.01544791,9.507998461,9.288689566,9.757048541,8.798740014,9.286021977,9.387709751,8.294319917,9.234293504,8.65328436
TRRAP,9.057498123,8.994926246,9.009545748,9.013032005,9.053478853,9.070648973,8.898423613,9.038635396,8.940304256,9.114091861,9.137689221,8.898533519,8.568184345,8.619334679,8.646869115,8.877479387,8.557137478,8.50966436
MYH16,5.311038475,5.497586983,5.40399725,5.192652845,5.133958387,5.358525135,5.3837111,5.046086465,5.253936974,5.51582411,5.436016837,5.093105432,5.582479447,5.392553087,5.528969488,5.655545569,5.598147406,6.004814093
AC004922.1,10.60272455,10.52916761,10.35822078,10.57864313,10.45736126,10.6004665,10.51247358,10.60888216,10.47984659,10.57852613,10.59909617,10.39335807,10.00481534,9.989950828,9.967874003,10.11879287,9.732700477,9.708339862
ARPC1A,10.60272455,10.52916761,10.35822078,10.57864313,10.45736126,10.6004665,10.51247358,10.60888216,10.47984659,10.57852613,10.59909617,10.39335807,10.00481534,9.989950828,9.967874003,10.11879287,9.732700477,9.708339862
ARPC1B,9.299688,9.23498586,8.867957605,9.252404048,8.891748841,9.356836614,9.252452142,9.197032892,8.774080158,9.205261981,9.185308456,8.657842783,8.694627314,8.497254591,8.541065493,8.615314091,8.266571521,8.813840103
POLR2KP1,11.05473927,10.84121146,10.41776919,10.98364045,10.83140762,11.01992736,11.01953025,10.943992,10.65257462,10.95557963,11.12870993,10.07024178,10.61718409,9.958068186,10.02126034,10.37488423,9.367374802,10.14707997
AC020612.1,11.05473927,10.84121146,10.41776919,10.98364045,10.83140762,11.01992736,11.01953025,10.943992,10.65257462,10.95557963,11.12870993,10.07024178,10.61718409,9.958068186,10.02126034,10.37488423,9.367374802,10.14707997
TRIM4,7.070677967,6.96269643,7.210487169,7.123358794,7.313808298,7.126967402,6.879627798,7.196615953,7.13896457,7.148552098,7.167109373,7.360221982,7.814301693,7.943621429,8.01239865,8.067059155,8.606761439,8.489749836
PARK7,11.05473927,10.84121146,10.41776919,10.98364045,10.83140762,11.01992736,11.01953025,10.943992,10.65257462,10.95557963,11.12870993,10.07024178,10.61718409,9.958068186,10.02126034,10.37488423,9.367374802,10.14707997
STAG3,5.828740449,5.863822402,5.872479626,5.818145638,5.832954812,5.845887368,5.918761143,5.845643102,5.851451317,5.826997742,5.831645897,5.924081403,5.80338283,5.868148784,5.800875489,5.665131542,5.664848332,5.690190904
AF235103.1,5.869498671,5.680629613,5.856445208,6.004007269,6.206670245,5.998663061,5.839898711,6.049188027,5.87550575,6.032919126,5.824434104,6.091786222,5.602361895,5.585965037,5.78281945,5.603666193,5.364776951,5.564632785
TMED10P1,5.869498671,5.680629613,5.856445208,6.004007269,6.206670245,5.998663061,5.839898711,6.049188027,5.87550575,6.032919126,5.824434104,6.091786222,5.602361895,5.585965037,5.78281945,5.603666193,5.364776951,5.564632785
MUC12,5.493732058,5.356265692,6.087976358,5.409864622,6.124418244,5.466850426,5.459389909,5.713361015,6.701322008,5.378136688,5.4767771,5.756157262,6.108386492,9.241895939,8.642020216,5.499830114,6.11714834,5.677584538
MUC17,3.463113981,3.766553124,3.505956769,3.456163854,3.51501577,3.423564981,3.872072459,3.603309167,3.739905097,3.414398139,3.758539599,3.551048257,3.816491679,5.025638067,5.02200633,3.446072165,3.785653823,3.592269367
AC105052.3,9.855883538,9.913873725,9.293072086,9.821488405,9.667175508,9.970404589,9.867805197,9.805662726,9.445353917,9.905232726,9.912042525,9.379921531,9.205930123,9.051633663,8.936937598,8.767916619,8.893866896,9.375146846
LHFPL3-AS2,4.681599096,4.577200669,4.272622663,4.767873092,4.894168079,4.442224538,4.984466005,4.761865528,4.75924566,4.900530979,4.588947473,4.763366395,5.264959936,5.207738417,5.361030973,5.481779928,5.589788536,5.259853188
LSMEM1,4.581167299,4.373804329,4.735414295,4.440359493,4.791958784,4.544617235,4.208308617,4.639820027,4.740445371,4.614963067,4.719241176,4.885160917,4.806833583,5.089180129,4.966690271,5.872895912,5.888372319,5.304347429
CAV1,7.106454008,7.159286882,7.275008012,7.209917211,7.315413583,7.22340476,7.056766137,7.050765017,7.061475213,7.28118411,7.189846763,7.05926666,7.472663152,7.699063531,7.614956632,7.132716693,7.564090927,7.552919536
METTL2B,8.231328373,8.013533542,7.961363816,8.224014362,8.280759648,8.219702064,8.090233537,8.249845837,8.269516092,8.523882405,8.514348274,8.306527368,8.71472665,8.616787866,8.560497637,8.80885424,8.529174717,8.635110874
NRF1,5.029864572,4.650553048,4.526383697,5.062484304,5.131243,4.780713592,4.712744698,5.222021822,4.728465509,5.014903835,4.895416472,4.251195825,5.174833979,5.084921237,4.961269102,6.341166391,5.236187735,5.621806248
RNA5SP244,5.029864572,4.650553048,4.526383697,5.062484304,5.131243,4.780713592,4.712744698,5.222021822,4.728465509,5.014903835,4.895416472,4.251195825,5.174833979,5.084921237,4.961269102,6.341166391,5.236187735,5.621806248
COPG2,8.155165201,7.894146638,8.20260653,8.022877863,8.354591798,8.116348956,7.943834858,8.267407102,8.399839099,8.283911822,8.322658192,8.240985273,7.492653117,7.484454566,7.534101186,7.354066744,7.638967366,7.192386886
FLJ40288,4.178773095,4.309197398,4.226074781,4.082137956,4.318261857,4.16950249,4.261466213,4.220844179,4.188234063,4.227931109,4.215021579,4.256475863,4.451298623,4.665248985,4.301416411,4.09025957,4.16861999,4.176942436
